"","GDP","CPI","Interest_Rate","PMI","Unemployment","Crude_Oil","IP","Payroll","Christmas","Thx","Super","y_train"
"165",14290.676,198.8,3.42,154.2,4.4,65.59,102.5987,134590,1,0,0,21316
"20",9512.772,144.8,3.02,118.6,6,18.01,64.2128,111210,0,1,0,4955
"96",12428.735,168.3,5.2,130.5,3.2,26.1,92.9706,130789,0,0,0,9425
"28",9814.695,147.4,3.68,120.1,5.5,16.42,66.7567,113596,0,0,0,3097
"229",14838.227,220.22,0.15,181.1,9.2,89.17,94.1476,130878,0,0,0,21954
"234",14927.312,225.72,0.04,191.1,8.5,96.26,98.9111,131952,0,0,0,23447
"188",14973.036,207.92,4.2,163,4.1,72.36,109.2909,138027,0,1,0,21583
"226",14945.507,218.71,0.13,177.3,8.4,81.89,96.7886,130632,0,0,0,22219
"152",13834.783,189.5,1.48,143.7,4.8,44.9,98.8178,131957,0,1,0,14604
"257",15450.333,232.95,0.04,194,6.6,94.51,101.2429,136122,0,0,0,28336
"279",16327.681,236.12,0.03,186.2,5.1,47.82,103.4781,140937,0,0,0,33793
"267",15804.394,236.29,0.05,196.2,6.3,100.8,103.0224,137993,0,0,0,30045
"101",12573.859,171.5,5.79,133.1,3.3,28.79,95.8126,132117,0,0,0,9297
"105",12647.108,173.7,6,134.7,3.2,33.88,97.8549,132383,1,0,0,13558
"98",12360.84,169.8,5.55,132.2,3.8,29.37,94.161,131138,0,0,0,8692
"173",14615.862,202.5,4.72,158.5,3.9,70.84,104.0393,136258,0,0,0,16897
"153",13842.583,189.9,1.65,144.2,4.6,45.94,99.4126,132114,1,0,0,18470
"273",16131.63,238.03,0.02,196.8,5.2,93.21,104.081,139568,1,0,0,50238
"4",9195.124,139.5,3.75,116.9,6.6,20.23,60.8506,108526,0,0,0,2665
"84",11769.005,163.9,4.39,125.9,3.5,11.35,88.2889,127608,0,0,0,7595
"149",13769.85,189.1,1.02,143.3,4.7,40.28,97.4562,131714,0,0,0,12540
"32",9978.688,149,4.48,121.5,5.4,18.38,68.988,114900,0,1,0,5254
"55",10595.629,157,5.15,127.1,4.8,21.3,72.5979,120023,0,0,0,5816
"23",9681.386,145.8,3.1,119.3,5.6,16.61,64.9798,111991,0,0,0,3141
"90",11979.016,166.2,4.57,127.8,3.6,17.92,93.1435,129089,0,0,0,8033
